QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,skill,b
242,877,Multiply amounts of money up to £10,41,Basic Money,B,"Alicia wants to buy some bottles of water.
Each bottle of water costs \( £ 1.65 \)
Alicia has \( £ 10 \) to spend.
What is the greatest number of bottles can she buy?",\( 10 \),\( 6 \),\( 16 \),\( 7 \),,,,1158.0,,0.0
243,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,C,"Solve
\[
3 n+2 \geq 4 n-5
\]",\( -3 \geq n \),\( 1 \geq n \),\( 7 \geq n \),\( n \geq 7 \),1214.0,1214.0,,811.0,,0.0
244,3406,Substitute into simple formulae given in words,67,Substitution into Formula,D,"A theme park charges \( £ 8 \) entry fee and then \( £ 3 \) for every ride you go on.
Heena goes on \( 5 \) rides.
How much does she pay in total?",\( £ 55 \),\( £ 15 \),\( £ 11 \),\( £ 23 \),389.0,641.0,533.0,,,0.0
245,591,Increase a number by a given percentage mentally where the percent is a multiple of 10,234,Percentage Increase and Decrease,A,Increase \( 160 \) by \( 30 \% \),\( 208 \),\( 190 \),\( 48 \),\( 4800 \),,2206.0,1313.0,531.0,,0.0
246,3504,Continue a sequence involving triangle numbers,173,Other Sequences,C,"Here are two consecutive triangle numbers: \( 153,171, \ldots \) What is the next triangle number in the sequence?",\( 188 \),\( 189 \),\( 190 \),\( 324 \),2446.0,2250.0,,1410.0,,0.0
247,71,Solve problems that combine addition and subtraction,206,Written Subtraction,B,"At the start of the day, there was \( £ 1,456 \) in the till. \( £ 7,347 \) was taken and \( £ 4,377 \) was handed out. How much money was left?","\( £ 13,180 \)","\( £ 4,426 \)","\( £ 2,970 \)","\( £ 10,268 \)",2009.0,,791.0,1787.0,,0.0
248,3181,Recognise a quadratic graph from its shape,1171,Quadratic Graphs-Others,D,Which of the following is an example of a quadratic graph?,![A graph showing a straight line from top left to bottom right.](),"![A graph showing a curve that starts in the bottom left, moves steeply up and right, levels off briefly, then continues steeply up and right.]()","![A graph with two curves. One curve is in the positive x, positive y quadrant. It starts at the top close to the y axis, as we move right it drops very quickly towards the x axis then levels off to travel almost parallel to the x axis.
The other curve is in the negative x, negative y quadrant. It starts at the top left close to the x axis, as we move right it drops very quickly towards the y axis then becomes almost vertical to travel almost parallel to the y axis. ]()","![A graph that starts in the top left, drops steeply down as you move right, briefly levels off, then steeply up back to the same level as the starting point, forming a symmetrical U shape.]()",1133.0,694.0,332.0,,,0.0
250,221,Round numbers greater than 1 to two significant figures,215,Rounding to Significant Figures,C,"\(
180.5672
\)

What is the second significant figure in the number above?",\( 7 \),\( 2 \),\( 8 \),\( 6 \),380.0,380.0,,1460.0,,0.0
252,987,Know that the factorised form of a quadratic is useful for finding where the curve crosses the x-axis,266,Sketching from Factorised Form,B,\( y=(x-3)(x-5) \) Where does this curve intercept the \( x \) axis?,"\( (3,5) \)","\( \begin{array}{c}(3,0) \\ \text { and } \\ (5,0)\end{array} \)","\( \begin{array}{c}(-3,0) \\ \text { and } \\ (-5,0)\end{array} \)","\( \begin{array}{c}(3,5) \\ \text { and } \\ (-3,-5)\end{array} \)",1168.0,,2436.0,1168.0,,0.0
254,2758,Calculate the mean as an average from a list of data,102,"Averages (mean, median, mode) from a List of Data",A,"When calculating the mean of the following numbers which calculation will give the correct answer?
\[
0,1,3,4,7
\]",\( \frac{1+3+4+7}{5} \),\( 0+1+3+4+7 \div 5 \),\( \frac{1+3+4+7}{4} \),None of them,,1507.0,1623.0,491.0,Statistics,0.0
255,423,Convert from improper fractions to mixed number fractions,229,Converting Mixed Number and Improper Fractions,A,"Convert this into a mixed number fraction:
\(
\frac{13}{5}
\)",\( 2 \frac{3}{5} \),\( 1 \frac{3}{5} \),\( 3 \frac{2}{5} \),\( 13 \frac{1}{5} \),,893.0,1492.0,20.0,,0.0
257,2040,Convert from kilometers to miles,195,Length Units,A,\( 3 \) miles \( \approx 5 \mathrm{~km} \) \( 30 \mathrm{~km} \approx \square \) miles,\( 18 \),\( 9 \),\( 28 \),\( 50 \),,,306.0,,,0.0
258,3316,Recognise and use efficient methods for mental multiplication,204,Mental Multiplication and Division,D,"Tom and Katie are discussing mental multiplication strategies.
Tom says \( 15 \times 42=154 \times 2 \)
Katie says \( 15 \times 42=(15 \times 4)+(15 \times 2) \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,2051.0,488.0,,,,0.0
259,3065,Convert from hours to minutes,209,Time,A,\( 3 \) hours is the same as ___________ minutes,\( 180 \),\( 90 \),\( 30 \),\( 300 \),,737.0,767.0,161.0,,0.0
260,1098,Write the next term of a descending integer linear sequence,1173,Sequences-Others,A,"What is the next term in this sequence?


\[
18, \quad 11, \quad 4, \quad \ldots
\]",\( -3 \),\( -2 \),\( -7 \),Not enough information,,,1720.0,2472.0,,0.0
261,2240,Change minutes into decimals of hours (e.g. 90 minutes = 1.5 hours),209,Time,C,\( 90 \) minutes is the same as _________ hours,\( 9 \),\( 1.9 \),\( 1.5 \),\( 1.3 \),767.0,,,427.0,,0.0
262,331,Identify factors of a number,219,Factors and Highest Common Factor,B,"\[
1,2,4,8
\]
These are the only factors of...",\( 1 \),\( 8 \),\( 16 \),\( 64 \),,,131.0,,,0.0
264,3032,Understand inequality notation,165,Inequalities on Number Lines,D,"Which of the following shows "" \( x \) is greater than or equal to \( 6 \) ""?",\( x>6 \),\( x \leq 6 \),\( x<6 \),\( x \geq 6 \),1660.0,1880.0,,,,0.0
266,444,Multiply mixed number fractions in the form: Fraction × Integer,231,Multiplying Fractions,A,"\(
1 \frac{2}{3} \times 2
\)
Which of the following is a correct way to write the answer to this calculation?",\( 3 \frac{1}{3} \),\( 2 \frac{2}{3} \),\( 1 \frac{4}{3} \),\( 2 \frac{4}{6} \),,1807.0,,1976.0,Fractions,-1.0
267,559,Calculate questions involving the power law of indices with positive integer powers,247,Laws of Indices,A,\( \left(5^{4}\right)^{3}= \),\( 5^{12} \),\( 5^{7} \),\( 125^{12} \),None of these options,,2524.0,2473.0,1921.0,Indices & Surds,-1.0
269,382,Convert decimals less than 1 with 3 or more decimal place to percentages,239,Converting between Decimals and Percentages,C,How do you write \( 0.909 \) as a percentage?,\( 99 \% \),\( 909 \% \),\( 90.9 \% \),\( 9.9 \% \),539.0,364.0,,,,0.0
270,1075,Solve positive quadratic inequalities by balancing e.g x² ≤ a,168,Solving Quadratic Inequalities,B,"Which of the following is the correct solution to the inequality?

\(
x^{2}<16
\)",\( \{x<-4\} \cup\{x>4\} \),\( \{-4<x<4\} \),\( \{x<4\} \),\( \{-8<x<8\} \),1880.0,,2577.0,2316.0,,0.0
272,1328,Identify vertical reflections in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),A,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=-f(x)\)","Reflection in the
\[
x \text {-axis }
\]","Reflection in the
\[
y \text {-axis }
\]","Reflection in the line
\[
y=x
\]","Reflection in the line
\[
y=-x
\]",,594.0,47.0,1303.0,,0.0
275,306,Subtract decimals where the numbers involved have a different number of decimal places,223,Adding and Subtracting with Decimals,A,\( 50.09-0.1= \),\( 49.99 \),\( 50.99 \),\( 50.08 \),\( 38.98 \),,699.0,2346.0,,,0.0
278,1034,Represent a linear inequality in the form a ≤ x ≤ b (and other sign arrangements) on a numberline,165,Inequalities on Number Lines,B,Which number line represents \( -3<x \leq 1 \) ?,"![A number line with a hollow circle above -3 and an arrow coming out of it over the numbers -4, -5 etc and a filled in circle above 1 with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()",![A number line with a hollow circle above -3 connected to a filled in circle above 1.](),"![A number line with a filled in circle above -3 and an arrow coming out of it over the numbers -4, -5 etc and a hollow circle above 1 with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()",![A number line with a filled in circle above -3 connected to a hollow circle above 1.](),1880.0,,,550.0,,0.0
279,1739,Use a protractor to measure angles between 270° and 360°,180,Measuring Angles,D,Which diagram shows an angle of \( 325^{\circ} \) ?,"![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out a reflex angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is half way between 160 and 150 (inner scale) and halfway between 20 and 30 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out a reflex angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is half way between 30 and 20 (inner scale) and halfway between 150 and 160 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out a reflex angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is half way between 150 and 140 (inner scale) and halfway between 30 and 40 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out a reflex angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is half way between 40 and 30 (inner scale) and halfway between 140 and 150 (outer scale).]()",1188.0,2251.0,1188.0,,,0.0
284,20,Write 5 digit numbers and above as words,202,Place Value,D,"How do you write this number in words?

\( 60302 \)",Six hundred and thirty-two,Six thousand three hundred and two,Sixty thousand and thirty-two,Sixty thousand three hundred and two,539.0,22.0,2546.0,,,0.0
285,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,B,Rearrange the following equation to make \( \omega \) the subject \( F=r \omega^{2} \),\( \omega=r F^{2} \),\( \omega=\sqrt{\frac{F}{r}} \),\( \omega=\sqrt{r F} \),\( \omega=\frac{\sqrt{F}}{r} \),1214.0,,1214.0,256.0,,0.0
286,452,Divide mixed number fractions in the form: Fraction ÷ Integer,232,Dividing Fractions,A,"\(
2 \frac{2}{3} \div 2
\)
Which of the following is a correct way to write the answer to this calculation?",\( 1 \frac{1}{3} \),\( 1 \frac{2}{3} \),\( 2 \frac{1}{3} \),\( \frac{3}{4} \),,1418.0,983.0,2359.0,Fractions,-1.0
288,3391,Substitute negative integer values into formulae involving powers or roots,67,Substitution into Formula,D,"\(
F=3^{a}
\)

What is the value of \( F \) when \( a=-5 \) ?",\( -243 \),\( -\frac{1}{243} \),\( -15 \),\( \frac{1}{243} \),433.0,433.0,1792.0,,,0.0
290,1288,Prove statements involving positive and negative numbers,1081,Algebraic Proof,B,Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?,\( 2\left(\frac{3}{4}\right)^{2}-1 \),\( 2(0.5)^{2}-1 \),\( 2(-2)^{2}-1 \),\( 2(-1)^{2}-1 \),,,1597.0,1597.0,,0.0
292,440,Multiply proper fractions in the form: Fraction × Integer,212,Multiplying and Dividing Negative Numbers,C,\( \frac{1}{3} \times(-6)= \),\( -18 \),\( -\frac{6}{18} \),\( -2 \),\( -\frac{1}{18} \),,,,78.0,,0.0
298,1281,"Multiply algebraic terms, involving non-linear versions of different letters (e.g. 4a2 x 5ab)",247,Laws of Indices,B,\( 5 p^{2} \times 2 p q \equiv \),\( 10 p q^{3} \),\( 10 p^{3} q \),\( 7 p^{3} q \),Does not simplify,,,2085.0,346.0,Indices & Surds,0.0
302,1614,Simplify an algebraic fraction by factorising both the numerator and denominator,1077,Simplifying Algebraic Fractions,B,"Write the following as simply as possible:
\(
\frac{(x+3)(x+5)}{(x+3)(x+10)}
\)",\( \frac{x+1}{x+2} \),\( \frac{x+5}{x+10} \),\( \frac{x^{2}+8 x+15}{x^{2}+13 x+30} \),\( \frac{1}{2} \),1610.0,,792.0,,,0.0
304,855,Use the order of operations to carry out calculations involving brackets,33,BIDMAS,C,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",\( 1+2 \),\( 2 \times 3 \),\( 3-4 \),It doesn't matter: you get the same answer,1507.0,2488.0,,2532.0,,0.0
305,1466,"Solve one-step linear equations requiring multiplication or division, involving positive fractions",64,Linear Equations,D,"Solve the equation:
\(
5 p=\frac{1}{10}
\)",\( p=\frac{1}{2} \),\( p=\frac{1}{5} \),\( p=2 \),\( p=\frac{1}{50} \),1214.0,,,,Algebra,-1.0
306,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,B,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?","Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)","Problem P: \( 4-5 \)
Problem Q: \( 5 \times 6 \)","Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)","Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)",1507.0,,1516.0,2306.0,,0.0
307,1107,Use the nth term rule of an ascending integer linear sequence to test whether a term belongs in the sequence or not,171,Linear Sequences (nth term),A,"Eliza is trying to work out if \( 82 \) is a term in the sequence \( 3 n+1 \)

Below is her working out. What conclusion should Eliza draw?

 \( \begin{aligned} 3 n+1 & =82 \\ 3 n & =81 \\ n & =27\end{aligned} \)",\( 82 \) is in the sequence and is the \( 27^{\text {th }} \) term,\( 27 \) is in the sequence and is the \( 82^{\text {nd }} \) term,\( 82 \) is not in the sequence because \( 27 \) is an integer,Eliza's method does not answer this question,,2220.0,469.0,1354.0,Sequences,0.0
308,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,B,"Simplify the following, if possible: \( \frac{t^{2}+2 t+1}{t+1} \)",\( t+2 \),\( t+1 \),\( t^{2}+t \),Does not simplify,891.0,,2078.0,167.0,,0.0
312,3133,Write algebraic expressions with correct algebraic convention involving powers,252,Multiplying Terms,C,"Simplify, if possible:
\(
a^{2} \times a
\)",\( 2 a^{2} \),\( 3 a \),\( a^{3} \),Does not simplify,346.0,1072.0,,346.0,,0.0
313,265,Carry out multiplication problems involving one negative integer,212,Multiplying and Dividing Negative Numbers,B,\( 3 \times(-5)= \),\( 15 \),\( -15 \),\( 8 \),\( -8 \),1082.0,,,,,0.0
314,204,Convert the reminders from written division problems into decimals,208,Written Division,B,"John has been asked to work out the answer to:
\[
232 \div 5
\]
He gets the answer \( 46 \) remainder \( 2 \)
What is the exact value of that remainder?",\( 0.2 \),\( 0.4 \),\( 2 \),\( 0.25 \),1447.0,,1046.0,1046.0,,0.0
316,224,Round numbers between 0 and 1 to two significant figures,214,Rounding to Decimal Places,B,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,\( 23.725 \),\( 0.391 \),\( 0.038 \),\( 0.0599 \),739.0,,380.0,380.0,,0.0
317,301,Add decimals with the same number of decimals places,223,Adding and Subtracting with Decimals,D,\( 1.39+2.53= \),\( 4.01 \),\( 3.812 \),\( 3.82 \),\( 3.92 \),1898.0,1383.0,1383.0,,,0.0
318,1493,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,65,Quadratic Equations,C,"Which option gives a correct substitution into the quadratic formula to solve the quadratic equation?

\(
3 x^{2}+2 x-5=0
\)",\( -2 \pm \frac{\sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( 2 \pm \frac{\sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( \frac{-2 \pm \sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( \frac{2 \pm \sqrt{2^{2}-4(3)(-5)}}{2(3)} \),1044.0,1044.0,,1044.0,Quadratics,-1.0
322,311,Multiply a decimal by an integer,224,Multiplying and Dividing with Decimals,B,"Work out:
\[
0.3 \times 12
\]",\( 36 \),\( 3.6 \),\( 0.36 \),\( 0.036 \),189.0,,1035.0,2187.0,,0.0
323,1428,Factorise a quadratic expression in the form x² + bx + c,53,Factorising into a Double Bracket,B,Factorise \( x^{2}+15 x+36 \) Factorise \( x^{2}+15 x+36 \),\( (x+4)(x+9) \) \( (x+4)(x+9) \),\( (x+3)(x+12) \) \( (x+3)(x+12) \),\( (x+1)(x+36) \) \( (x+1)(x+36) \),\( (x+7)(x+18) \) \( (x+7)(x+18) \),1535.0,,1535.0,418.0,Quadratics,0.0
324,2406,Identify a kite from a description of the properties,84,Properties of Polygons,C,Which of the following quadrilaterals could not be classified as a kite?,Square,Rhombus,Trapezium,None of them are kites,1740.0,1740.0,,1370.0,,0.0
325,3337,Identify the number of degrees in fractions of a turn,180,Measuring Angles,A,How many degrees are there in \( 1 \frac{1}{4} \) full turns?,\( 450^{\circ} \),\( 385^{\circ} \),\( 125^{\circ} \),\( 90^{\circ} \),,1257.0,2.0,,,0.0
326,3522,Find a negative reciprocal,263,Perpendicular Lines,B,\( \frac{2}{5} \times \star=-1 \) What should replace the star?,\( \frac{5}{2} \),\( -\frac{5}{2} \),\( \frac{2}{5} \),\( -\frac{2}{5} \),,,,2271.0,,0.0
327,211,Round non-integers to the nearest 10,213,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( \mathbf{9 9 9 . 9 9 9} \) rounded to the nearest ten?,\( 990 \),\( 100 \),\( 900 \),\( 1000 \),1379.0,1605.0,1379.0,,,0.0
328,425,Add proper fractions with different denominators where one is a multiple of the other,230,Adding and Subtracting Fractions,A,"Calculate:
\(
\frac{2}{9}+\frac{1}{3}
\)",\( \frac{5}{9} \),\( \frac{3}{12} \),\( \frac{3}{9} \),\( \frac{1}{6} \),,217.0,1909.0,234.0,Fractions,-1.0
329,325,Answer decimal problems that require the use of BIDMAS,33,BIDMAS,A,"Tom and Katie are discussing the order of operations
Tom says: \( 0.1-0.2 \div 0.3 \equiv 0.1-(0.2 \div 0.3) \)
Katie says: \( 0.1-0.2 \div 0.3 \equiv 0.2 \div 0.3-0.1 \)
Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,,1507.0,1963.0,1507.0,,0.0
332,1470,"Solve two-step linear equations, with the variable on one side, with all positive integers",64,Linear Equations,A,"Tom and Katie are discussing how to solve:
\(
\frac{x}{3}-5=12
\)

Tom says a correct next line of working could be: \( \frac{x}{3}=17 \)

Katie says a correct next line of working could be: \( x-5=36 \)
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,,340.0,340.0,1214.0,Algebra,-1.0
333,306,Subtract decimals where the numbers involved have a different number of decimal places,223,Adding and Subtracting with Decimals,A,\( 0.26-0.6= \),\( -0.34 \),\( 0.34 \),\( -0.44 \),\( 0.2 \),,1510.0,1795.0,2346.0,,0.0
335,100,Recognise and use efficient strategies for mental subtraction,203,Mental Addition and Subtraction,C,"Jo and Paul are discussing mental addition and subtraction strategies.

Jo says a good way to add \( 19 \) is to add \( 10 \), then another \( 10 \) and then subtract \( 1 \).

Paul says a good way to subtract \( 19 \) is to subtract \( 10 \), then another \( 10 \) and then add \( 1 \).

Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,1338.0,1338.0,,1338.0,,0.0
337,3319,"Solve problems involving converting between fractions, decimals and percentages",238,Converting between Fractions and Percentages,D,"Jo and Paul are arguing about percentages.
Jo says \( 52 \%=0.052 \)
Paul says \( 52 \%<\frac{20}{41} \)
Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,1622.0,,,,,0.0
338,409,Identify equivalent fractions when presented as numbers,226,Equivalent Fractions,D,Complete the statement \( \frac{4}{6}=\frac{}{12} \),\( \frac{4}{6}=\frac{2}{12} \),\( \frac{4}{6}=\frac{4}{12} \),\( \frac{4}{6}=\frac{10}{12} \),\( \frac{4}{6}=\frac{8}{12} \),6.0,120.0,1429.0,,,0.0
339,1264,Recognise and name a term,70,Writing Expressions,D,Which of the following is the most appropriate word to describe \( 3 g \) in this: \( 6-3 g \),Variable,Expression,Equation,Term,2519.0,661.0,68.0,,Algebra,0.0
342,1654,Identify obtuse angles,73,"Types, Naming and Estimating",C,Which of the following is an obtuse angle?,\( 85^{\circ} \),\( 270^{\circ} \),\( 110^{\circ} \),\( 180^{\circ} \),599.0,599.0,,1440.0,,0.0
346,706,Convert ratios to fractions,334,Writing Ratios,D,"Kate and Isaac share some yoghurt in the ratio \( 2: 5 \).
Kate has \(_____\) of the total yoghurt
What fraction completes the sentence?",\( \frac{3}{2} \),\( \frac{3}{5} \),\( \frac{2}{5} \),\( \frac{2}{7} \),,,1452.0,,,0.0
347,3395,Substitute positive non-integer values into formulae involving powers or roots,67,Substitution into Formula,D,"Calculate the displacement \( (s) \), of a particle when initial velocity \( (u)=2.9 \mathrm{~ms}^{-1} \), final velocity \( (v)=3.5 \mathrm{~ms}^{-1} \), and the time \( (t) \) taken is \( 5.2 \) seconds. \( s=\frac{1}{2}(u+v) t \)",\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5)+5.2 \\ s=8.4\end{array} \),\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5+5.2) \\ s=5.8\end{array} \),\( \begin{array}{c}s=2.9+3.5+\left(\frac{1}{2} \times 5.2\right) \\ s=9\end{array} \),\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5) \times 5.2 \\ s=16.64\end{array} \),1900.0,1900.0,,,,0.0
348,2238,Convert from years to days,209,Time,C,How many days in a non-leap year?,\( 350 \),\( 366 \),\( 365 \),\( 100 \),2239.0,,,1322.0,,0.0
349,266,Carry out multiplication problems involving two negative integers,212,Multiplying and Dividing Negative Numbers,B,Which calculation is incorrect?,\( (-7) \times 2=-14 \),\( (-7) \times(-2)=-14 \),\( 7 \times 2=14 \),\( 7 \times(-2)=-14 \),974.0,,1800.0,974.0,,0.0
350,2947,Know that the probabilities of exhaustive events must sum to 1,111,Probability of Single Events,B,"The probability of an event occurring is \( \frac{2}{7} \).

What is the probability of the event not occurring?",\( \frac{2}{7} \),\( \frac{5}{7} \),\( 5 \),\( \frac{2}{5} \),2265.0,,604.0,,Probability,-1.0
351,473,Calculate the square of a number,245,"Squares, Cubes, etc",D,\( (16)^{2}=? \),\( 8 \),\( 32 \),\( 64 \),\( 256 \),909.0,2316.0,,,,0.0
354,473,Calculate the square of a number,245,"Squares, Cubes, etc",A,\( -(16)^{2}=? \),\( -256 \),\( -32 \),\( 32 \),\( 256 \),,2316.0,,1444.0,,0.0
355,3346,Identify the order of rotational symmetry of a shape,276,Rotational Symmetry,C,Which quadrilateral has the highest order of rotational symmetry?,![Trapezium](),![Irregular quadrilateral](),![Parallelogram](),They each have the same order of rotational symmetry,2355.0,2355.0,,926.0,,0.0
359,3133,Write algebraic expressions with correct algebraic convention involving powers,70,Writing Expressions,B,"If we want to write
""\( m \) multiplied by \( m \) multiplied by \( m \)""
using algebra, this would be:",\( m \times m \times m \),\( m^{3} \),\( 3 m \),\( \mathrm{mmm} \),1680.0,,1072.0,572.0,Algebra,0.0
360,2760,Calculate the median as an average from an even numbered list of data,102,"Averages (mean, median, mode) from a List of Data",C,"What is the median of the following numbers?
\[
2,2,4,7,10,-15
\]",\( 7 \),\( 4 \),\( 3 \),\( 5.5 \),1225.0,2426.0,,1225.0,Statistics,0.0
362,941,Find the gradient of a line written in the form ax + by = c,260,Finding the Gradient and Intercept of a Line from the Equation,C,"A line has equation \( 4 x+3 y=5 \)
What is it's gradient?",\( -4 \),\( 4 \),\( -\frac{4}{3} \),\( \frac{4}{3} \),1417.0,130.0,,1214.0,,0.0
363,1268,Create a situation to match an algebraic expression,70,Writing Expressions,D,"Which model does not correctly represent the following expression?
\(2(n+3)\)","![\begin{tabular}{|c|c|}
\hline\( n \) & \( 3 \) \\
\hline\( n \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|l|l|l|l|}
\hline \( \mathrm{n} \) & \( 3 \) & \( \mathrm{n} \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|l|l|l|l|}
\hline \( \mathrm{n} \) & \( \mathrm{n} \) & \( 3 \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|c|c|}
\hline\( n \) & \( 2 \) \\
\hline\( n \) & \( 2 \) \\
\hline\( n \) & \( 2 \) \\
\hline
\end{tabular}]()",31.0,31.0,1226.0,,Algebra,0.0
368,481,Calculate which two integer values the decimal equivalent of a square root must lie between,246,"Square Roots, Cube Roots, etc",D,"Without using a calculator, which two integers must \( \sqrt{89} \) lie between?",\( 44 \) and \( 45 \),\( 8 \) and \( 9 \),\( 81 \) and \( 100 \),\( 9 \) and \( 10 \),734.0,,,,,0.0
369,1470,"Solve two-step linear equations, with the variable on one side, with all positive integers",64,Linear Equations,A,"Jo and Paul are arguing about a first step to solve this equation:
\(
\frac{m}{6}-4=24
\)
Jo says you can write: \( \frac{m}{6}=28 \)
Paul says you can write: \( m-4=144 \)
Who is correct?",Only Jo,Only Paul,Both Jo and Paul,Neither is correct,,,347.0,1130.0,Algebra,0.0
376,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,C,"Expand:
\[
6(2-3 p)
\]",\( 8-18 p \),\( 2-18 p \),\( 12-18 p \),\( 18 p-6 \),2143.0,1911.0,,1510.0,Algebra,0.0
377,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,C,What is \( 16 \) out of \( 25 \) as a percentage?,\( 16 \% \),\( 32 \% \),\( 64 \% \),\( 80 \% \),800.0,,,,,0.0
378,362,Convert fractions less than 1 to terminating decimals of 1 decimal place,102,"Averages (mean, median, mode) from a List of Data",B,"What is the mode of the following numbers?
\(
0.4, \quad \frac{1}{4}, \quad 2.5, \quad \frac{2}{5}
\)",\( \frac{1}{4} \),\( \frac{2}{5} \),\( 0.4 \) and \( 2.5 \),There is no mode,,,2368.0,,Statistics,0.0
379,3330,"Given an equation, form  or identify related equations",67,Substitution into Formula,A,"Jo and Paul are talking about statements that can be made about the equation on the right. \( 2 x=y \) Jo says this is always true: \( 2 x+1>y \) 
Paul says this is always true: \( -2 x<y \)
Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,,,664.0,,,0.0
380,381,Convert decimals less than 1 with 2 decimal place to percentages,239,Converting between Decimals and Percentages,B,\( 0.01+57 \%= \),\( 0.58 \% \),\( 58 \% \),\( 57.1 \% \),\( 67 \% \),,,61.0,39.0,,0.0
383,1525,Substitute positive integer values into expressions involving no powers or roots,67,Substitution into Formula,B,"When \( h=15 \)

\(
\frac{h}{3}=
\)
",\( 12 \),\( 5 \),\( -9 \),\( -5 \),2093.0,,,1648.0,,0.0
384,957,Identify parallel lines with at least one equation written in another form,262,Parallel Lines,B,"Which of the following lines is not parallel to
\[
y=-2 x+7 \text { ? }
\]",\( 3 y=-6 x-8 \),\( y=-(8-2 x) \),\( y=2-2 x \),\( y=2(1-x) \),1743.0,,401.0,1743.0,,0.0
386,1624,"Subtract algebraic fractions where the denominators are linear expressions, eg (x + 5) and (x - 3), and the numerators are single terms",1078,Adding and Subtracting Algebraic Fractions,D,"Express the following as a single fraction, writing your answer as simply as possible:
\(
\frac{1}{s+1}-\frac{t}{2}
\)",\( \frac{1-t}{2(s+1)} \),\( \frac{1-s t}{2(s+1)} \),\( \frac{1-t}{s-1} \),\( \frac{2-t(s+1)}{2(s+1)} \),120.0,220.0,172.0,,,0.0
387,690,Reduce a ratio involving two numbers to its simplest form,334,Writing Ratios,A,"Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{8}: \frac{1}{2}
\)",\( 1: 4 \),\( 4: 1 \),\( 2: 8 \),\( 8: 2 \),,1864.0,1918.0,,,0.0
388,797,Find the lower bound of a number rounded to 2 decimal places,214,Rounding to Decimal Places,C,"A number, \( n \), has been rounded to \( 2 \) decimal places to give \( \mathbf{3 . 7 2} \)
What is the smallest \( n \) can be?",\( 3.7 \),\( 3.71 \),\( 3.715 \),\( 3.719 \),2392.0,2412.0,,2412.0,,0.0
